#   index   ;    x_undf  ;    y_undf  ;    z_undf  ;    ux      ;    uy      ;    uz      ;    eps_x   ;    eps_y   ;    eps_xy  ;    eps_eqv ;    s_x     ;    s_y     ;    s_xy    
   32.000000;   52.000000;   -3.000000;    0.000000;   -0.031194;    0.113412;    0.000000;   -0.011989;    0.149668;   -0.000171;    0.148775;   30.220243;  117.733864;   -9.240303
   33.000000;   52.000000;   -3.500000;    0.000000;   -0.030959;    0.112660;    0.000000;   -0.014546;    0.151369;   -0.000191;    0.150743;   28.607648;  118.425953;  -10.362452
   34.000000;   52.000000;   -4.000000;    0.000000;   -0.030692;    0.111899;    0.000000;   -0.016756;    0.152555;   -0.000209;    0.152216;   27.137772;  118.794922;  -11.331205
   35.000000;   52.000000;   -4.500000;    0.000000;   -0.030408;    0.111135;    0.000000;   -0.018460;    0.153784;   -0.000223;    0.153739;   26.088459;  119.333321;  -12.093094
   36.000000;   52.000000;   -5.000000;    0.000000;   -0.030097;    0.110361;    0.000000;   -0.021742;    0.154861;   -0.000233;    0.154978;   23.724133;  119.328590;  -12.604676
   37.000000;   52.000000;   -5.500000;    0.000000;   -0.029771;    0.109585;    0.000000;   -0.024737;    0.156337;   -0.000238;    0.156612;   21.698168;  119.723248;  -12.908734
   38.000000;   52.000000;   -6.000000;    0.000000;   -0.029424;    0.108796;    0.000000;   -0.028431;    0.158626;   -0.000245;    0.159095;   19.323797;  120.587696;  -13.268342
   39.000000;   52.000000;   -6.500000;    0.000000;   -0.029057;    0.107997;    0.000000;   -0.032155;    0.160497;   -0.000248;    0.161128;   16.813698;  121.106123;  -13.402516
   40.000000;   52.000000;   -7.000000;    0.000000;   -0.028677;    0.107190;    0.000000;   -0.035932;    0.162065;   -0.000245;    0.162828;   14.179958;  121.366364;  -13.286757
   41.000000;   52.000000;   -7.500000;    0.000000;   -0.028284;    0.106375;    0.000000;   -0.039542;    0.163245;   -0.000240;    0.164136;   11.577605;  121.357040;  -12.998657
   42.000000;   52.000000;   -8.000000;    0.000000;   -0.027884;    0.105556;    0.000000;   -0.042599;    0.164205;   -0.000233;    0.165214;    9.363593;  121.317518;  -12.622231
   43.000000;   52.000000;   -8.500000;    0.000000;   -0.027476;    0.104731;    0.000000;   -0.045627;    0.165305;   -0.000224;    0.166430;    7.210197;  121.398848;  -12.151072
   44.000000;   52.000000;   -9.000000;    0.000000;   -0.027062;    0.103900;    0.000000;   -0.048615;    0.165911;   -0.000212;    0.167147;    4.957777;  121.091686;  -11.478183
   45.000000;   52.000000;   -9.500000;    0.000000;   -0.026648;    0.103070;    0.000000;   -0.050942;    0.166560;   -0.000202;    0.167922;    3.250171;  120.995533;  -10.951697
   46.000000;   52.000000;  -10.000000;    0.000000;   -0.026230;    0.102236;    0.000000;   -0.052782;    0.166694;   -0.000194;    0.168187;    1.799077;  120.613485;  -10.475406
   47.000000;   52.000000;  -10.500000;    0.000000;   -0.025813;    0.101404;    0.000000;   -0.054075;    0.166248;   -0.000182;    0.167799;    0.635478;  119.907963;   -9.866116
   48.000000;   52.000000;  -11.000000;    0.000000;   -0.025400;    0.100573;    0.000000;   -0.055620;    0.166224;   -0.000170;    0.167867;   -0.618775;  119.477421;   -9.214234
